tf,group,features,calc,
bert,BERT,BERT,n_a,
doc2vec exc_calculated,classic doc embeddings,doc2vec,n,
doc2vec inc_calculated,classic doc embeddings,doc2vec,y,
fasttext_300_sum,classic word embeddings,FastText300,n,
fasttext_300_sum_plusCounts,classic word embeddings,FastText300,y,
features/df_tweet_count_features_train.pickle,classic vector space,calculated,y,
features/df_tweet_tf_train.pickle,classic vector space,VSM_TF,y,
features/df_tweet_tf_train_nc.pickle,classic vector space,VSM_TF,n,
features/df_tweet_tfidf_train.pickle,classic vector space,VSM_TFIDF,y,
features/df_tweet_tfidf_train_nc.pickle,classic vector space,VSM_TFIDF,n,
features/df_tweet_train.pickle,classic vector space,VSM_count,y,
features/df_tweet_train_nc.pickle,classic vector space,VSM_count,n,
features/df_tweetbio_tf_train.pickle,classic vector space,VSM_TF,y,
features/df_tweetbio_tf_train_nc.pickle,classic vector space,VSM_TF,n,
features/df_tweetbio_tfidf_train.pickle,classic vector space,VSM_TFIDF,y,
features/df_tweetbio_tfidf_train_nc.pickle,classic vector space,VSM_TFIDF,n,
features/df_tweetbio_train.pickle,classic vector space,VSM_count,y,
features/df_tweetbio_train_nc.pickle,classic vector space,VSM_count,n,
glove_300_sum,classic word embeddings,GloVe300,n,
glove_300_sum_plusCounts,classic word embeddings,GloVe300,y,
glove_twitter200_sum,classic word embeddings,GloVe200,n,
glove_twitter200_sum_plusCounts,classic word embeddings,GloVe200,y,
gs://dissertation_bucket/fasttext300_cnn,CNN embeddings,FastText300,n_a,
gs://dissertation_bucket/glove300_840_cnn,CNN embeddings,GloVe300,n_a,
gs://dissertation_bucket/w2v_cnn,CNN embeddings,w2v300,n_a,
rnn_fasttext,RNN embeddings,FastText300,n_a,
rnn_glove,RNN embeddings,GloVe300,n_a,
rnn_w2v,RNN embeddings,w2v300,n_a,
w2v_300_sum,classic word embeddings,w2v300,n,
w2v_300_sum_plusCounts,classic word embeddings,w2v300,y,
