,benign_term,benign_value,offensive_term,offensive_value
0,sturgeon,0.8525100769512642,sturgeon,0.9272943980929678
1,nicola,0.6742396482227923,nicola,0.5744934445768772
2,nicola sturgeon,0.6335654085745694,nicola sturgeon,0.5387365911799762
3,scotland,0.21418101868816417,fucking,0.10369487485101311
4,boris,0.18559912055698058,face,0.09892729439809297
5,johnson,0.1548186148772444,fuck,0.09892729439809297
6,scottish,0.1403444485159399,cunt,0.09415971394517282
7,independence,0.12990106266031515,would,0.08939213349225268
8,brexit,0.12202271894466837,punch,0.07747318235995232
9,boris johnson,0.11670941736899963,like,0.07628128724672228
10,snp,0.10993037742762916,needs,0.07628128724672228
11,not,0.10150238182484426,want,0.07270560190703218
12,uk,0.10131916452913155,bitch,0.06793802145411204
13,minister,0.08995969219494321,scotland,0.06197854588796186
14,vote,0.08794430194210333,get,0.05125148986889154
15,first,0.08134847929644558,wee,0.04886769964243146
16,new,0.06943935507511909,sturgeon needs,0.04767580452920143
17,scottish independence,0.06302674972517405,love,0.04767580452920143
18,eu,0.06211066324661048,not,0.04648390941597139
19,first minister,0.05789666544521803,ugly,0.04529201430274136
