Experiment grouping,Feature epresentation,"Including ""calculated"" features?",Classifier ype,Best hyperparameters,F1,Precision,Recall,False egatives,False positives,True negatives,True positives,tf,Unnamed: 4
BERT,BERT,n/a,Bert (large),bert_large,0.93,0.96,0.91,18,8,823,172,bert,
BERT,BERT,n/a,BERT (base),bert_base,0.92,0.94,0.89,21,10,821,169,bert,
RNN embeddings,GloVe300,n/a,GRU RNN,rnn,0.91,0.94,0.88,22,10,821,168,rnn_glove,
RNN embeddings,w2v300,n/a,GRU RNN,rnn,0.89,0.90,0.87,24,18,813,166,rnn_w2v,
classic word embeddings,w2v300,Y,SVM,C 10;kernel rbf;random_state 42,0.88,0.92,0.84,31,14,817,159,w2v_300_sum_plusCounts,
classic vector space,VSM_count,Y,"ensemble (LR, SVM, DT, RF)",ensemble,0.87,0.94,0.81,36,10,821,154,features/df_tweet_train.pickle,
classic word embeddings,GloVe300,Y,SVM,C 0.05;kernel linear;random_state 42,0.87,0.92,0.82,34,13,818,156,glove_300_sum_plusCounts,
classic vector space,VSM_count,Y,LR,C 0.5;penalty l2;random_state 42,0.86,0.87,0.86,27,24,807,163,features/df_tweet_train.pickle,
classic word embeddings,GloVe300,Y,LR,C 0.05;penalty l2;random_state 42,0.86,0.92,0.81,36,13,818,154,glove_300_sum_plusCounts,
classic word embeddings,GloVe300,Y,"ensemble (LR, SVM)",ensemble,0.86,0.93,0.80,38,12,819,152,glove_300_sum_plusCounts,
classic vector space,VSM_TFIDF,Y,LR,C 0.1;penalty l2;random_state 42,0.86,0.88,0.84,31,22,809,159,features/df_tweet_tfidf_train.pickle,
classic vector space,VSM_TF,Y,LR,C 0.1;penalty l2;random_state 42,0.86,0.88,0.84,31,22,809,159,features/df_tweet_tf_train.pickle,
classic word embeddings,w2v300,N,SVM,C 10;kernel rbf;random_state 42,0.85,0.92,0.79,39,13,818,151,w2v_300_sum,
RNN embeddings,FastText300,n/a,GRU RNN,rnn,0.85,0.93,0.78,41,11,820,149,rnn_fasttext,
classic word embeddings,w2v300,Y,"ensemble (LR, SVM)",ensemble,0.85,0.88,0.83,33,22,809,157,w2v_300_sum_plusCounts,
classic vector space,VSM_count,Y,DT,criterion gini;random_state 42,0.84,0.83,0.85,28,33,798,162,features/df_tweet_train.pickle,
classic word embeddings,w2v300,N,"ensemble (LR, SVM)",ensemble,0.84,0.89,0.79,40,18,813,150,w2v_300_sum,
CNN embeddings,GloVe300,n/a,CNN,,0.84,0.87,0.80,38,22,809,152,gs://dissertation_bucket/glove300_840_cnn,
classic vector space,VSM_count,N,LR,C 0.5;penalty l2;random_state 42,0.83,0.86,0.81,36,26,805,154,features/df_tweet_train_nc.pickle,
classic vector space,VSM_TFIDF,Y,LR,C 0.05;penalty l2;random_state 42,0.83,0.84,0.82,34,30,801,156,features/df_tweetbio_tfidf_train.pickle,
classic vector space,VSM_TF,Y,LR,C 0.05;penalty l2;random_state 42,0.83,0.84,0.82,34,30,801,156,features/df_tweetbio_tf_train.pickle,
classic vector space,VSM_count,Y,SVM,C 0.05;kernel linear;random_state 42,0.83,0.85,0.81,36,28,803,154,features/df_tweet_train.pickle,
classic vector space,VSM_TFIDF,N,LR,C 0.05;penalty l2;random_state 42,0.83,0.84,0.82,35,30,801,155,features/df_tweetbio_tfidf_train_nc.pickle,
classic vector space,VSM_TF,N,LR,C 0.05;penalty l2;random_state 42,0.83,0.84,0.82,35,30,801,155,features/df_tweetbio_tf_train_nc.pickle,
classic word embeddings,GloVe300,N,SVM,C 0.1;kernel linear;random_state 42,0.83,0.89,0.77,43,19,812,147,glove_300_sum,
