,Bio,Hashtags,Location,Location Coordinates,Mentions,Name,Number Following,Number of Followers,Number of Tweets,Time,Tweet,Tweet ID,Username,Web
1,"""You can judge a nation by the way it treats it's most vulnerable citizens"".",,"Scotland, United Kingdom",,indy_swim Dk19Knox RuthDavidsonMSP,Christo92266247,40,4,192,Mon Jul 08 20:45:47 +0000 2019,"@indy_swim @Dk19Knox @RuthDavidsonMSP It's jealousy, Nicola Sturgeon may become Prime Minister of an Independent Scotland, what does Ruth have to look forward to in contrast?.",1148332373903327232,Christopher,
7,Support the Scottish Green Party #sgp A sustainable independent Scotland for land reform.,,"Leith, Scotland",,,Incrementalists,993,491,13400,Mon Jul 08 20:16:54 +0000 2019,"""Borrell is a French-speaking Catalan, he defended strongly the integrity of Spain and is a vigorous opponent of nationalist separatism which might concern [SNP leader] Nicola Sturgeon.” interesting.. https://t.co/Iq6KIcMZNx",1148325105971453953,Tramspotting,https://t.co/Iq6KIcMZNx
11,"Retired State Enrolled Nurse, One of the 45, All views my own, Don't add me to lists. Scottish Independence supporter and Gaelic Speaker.🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇮🇪🏳️‍🌈",,"Innerleithen, Scotland",,joehullait IsThisAB0t,1941davidB,2047,921,6589,Mon Jul 08 20:01:07 +0000 2019,@joehullait @IsThisAB0t If you need me to help you with spelling the First Minister's name Nicola Sturgeon we have a problem Have a read at this:- https://t.co/KnAqkeGaoL,1148321132162048000,David 🏳️‍🌈🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇪,https://t.co/KnAqkeGaoL
19,My bhoys.,,,,NicolaSturgeon,T2Farrell,28,4,8,Mon Jul 08 19:15:18 +0000 2019,@NicolaSturgeon Ms. Sturgeon you are the sunset for Scotland. ❤️,1148309603811303424,Teresa Farrell,
30,"Passionately progressive, I look forward to a world where all people are loved and respected. Passionately pro-Independence for Scotland, I hope for freedom.",,Stirling,,singbeckwith NicolaSturgeon,AlexanderOgilv1,2031,860,2574,Mon Jul 08 18:58:36 +0000 2019,"@singbeckwith @NicolaSturgeon You know that for certain do you?

You know what will make Nicola Sturgeon happy or sad?

Pretty arrogant of you",1148305399134740483,Alexander Ogilvie 🏴󠁧󠁢󠁳󠁣󠁴󠁿,
37,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,seanair_iain,JamessReality,38298,43123,154882,Mon Jul 08 18:36:07 +0000 2019,@seanair_iain Nicola Sturgeon seems hell-bent on railroad in you into full EU membership and surrendering everything,1148299741270351872,🔥👨‍💻JamessReality💻🔥™,
38,"I know what I voted for in a binary decision.
 https://t.co/xDpOQOdQye
#identitypolitics is a tool to divide.
#brexit
#RoyalEngineers
#USA
#Culturalist",,UBIQUE,,,vincemitchell6,2205,1907,10132,Mon Jul 08 18:35:39 +0000 2019,https://t.co/XY0oIx3pSG,1148299622915465217,Vince Mitchell,https://t.co/XY0oIx3pSG
42,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,cheekyladdie70 Blogorrhea_ SbBarclay,JamessReality,38298,43123,154882,Mon Jul 08 18:19:09 +0000 2019,@cheekyladdie70 @Blogorrhea_ @SbBarclay Nicola Sturgeon policy is to join the European Union which would require Scotland to join the Schengen area which would require an hard border. Jesus do no Scottish nationalist read,1148295472194437121,🔥👨‍💻JamessReality💻🔥™,
50,"Scottish Labour & Co-op MP for Rutherglen & Hamilton West. For constituent enquiries, please contact: ged.killen.mp@parliament.uk or 0141 641 0075",,"Rutherglen, Scotland",,theSNP,Gedk,2431,5271,19972,Mon Jul 08 17:49:15 +0000 2019,"A reminder that @theSNP were prepared to break their rule of not voting in devolved matters in 2015 to defend animal rights. Why are they not prepared to defend human rights now? 
https://t.co/5UlJ3FdHcG",1148287945927024642,Ged Killen,https://t.co/5UlJ3FdHcG
54,A fed up #yesser  #blockthetories #welcometothenewSNP,,Scotland,,,ScotiaIndyref2,761,874,10342,Mon Jul 08 17:37:49 +0000 2019,"Nicola Sturgeon to demand 'plan B' from Theresa May .NOV2018
Nicola Sturgeon blasts Brexit deal and demands same special status. NOV2018
Nicola Sturgeon seeks coalition against May's Brexit deal. NOV2018",1148285071696257024,Clem Fandango,
56,A fed up #yesser  #blockthetories #welcometothenewSNP,,Scotland,,,ScotiaIndyref2,761,874,10342,Mon Jul 08 17:37:48 +0000 2019,"''Nicola Sturgeon says Brexit deal bad for Scotland'' NOV2018.
Sturgeon: Brexit deal 'will make Scotland poorer' NOV2028
''May 'governing by threat' on Brexit deaL'' NOV2018",1148285067564867590,Clem Fandango,
59,Gie's peace!,,,,daveylittle,brian_oddfeet,1507,387,22360,Mon Jul 08 17:27:26 +0000 2019,@daveylittle The more the merrier. It gives me real satisfaction to know that Nicola Sturgeon's very existence is causing him (and his cronies) to eat out his bitter old guts. She's been called worse by better.,1148282455394324482,Brian Campbell,
64,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,BHCMax,JamessReality,38298,43123,154882,Mon Jul 08 17:10:13 +0000 2019,@BHCMax Yes but it would appear that Nicola Sturgeon seems a bit in the mood for pissing Donald Trump off.,1148278124649549837,🔥👨‍💻JamessReality💻🔥™,
65,"always  YES!                                                                                coiner of the Aye , Robot description of Anas Sarwar",,Oban Argyll Scotland,,,eswt,5001,1432,22196,Mon Jul 08 17:07:08 +0000 2019,Scotland is considering giving each citizen a universal basic income https://t.co/x4giBxcQhW,1148277346820087808,Eric Campbell Smith,https://t.co/x4giBxcQhW
70,If there had been a yes vote in 2014 would separatists have supported no voters' calls for a 2nd vote ? Retweets not always endorsements .,,"Scotland, United Kingdom",,,graciegrann,4912,2684,269771,Mon Jul 08 16:52:14 +0000 2019,Sturgeon must find sensible way forward and ignore reckless independence plan https://t.co/tRbuWCSzDA,1148273599565959168,4575 on wing's block list level traitor,https://t.co/tRbuWCSzDA
72,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,xerxes5th HairyAngus,JamessReality,38298,43123,154882,Mon Jul 08 16:39:44 +0000 2019,"@xerxes5th @HairyAngus No Nicola Sturgeon is repeatedly on record stating that she would retain all current opt-outs for an independent Scotland not going to happen. 

Do UK simply lost sovereignty because it doesn't have the right to control its laws Borders or money",1148270453217251330,🔥👨‍💻JamessReality💻🔥™,
74,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,Lara_Scotland SbBarclay,JamessReality,38298,43123,154882,Mon Jul 08 16:20:37 +0000 2019,"@Lara_Scotland @SbBarclay And as I said not accoding to many legal experts

But you also have to ask yourself a question if your argument is correct then why isn't Nicola Sturgeon called the 2nd referendum?",1148265640568008705,🔥👨‍💻JamessReality💻🔥™,
77,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,DW80000 nmckay958,JamessReality,38298,43123,154882,Mon Jul 08 16:10:48 +0000 2019,@DW80000 @nmckay958 Nicola sturgeon's on there so yes there is some nonsense,1148263173574844416,🔥👨‍💻JamessReality💻🔥™,
79,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,Lara_Scotland SbBarclay,JamessReality,38298,43123,154882,Mon Jul 08 15:50:35 +0000 2019,"@Lara_Scotland @SbBarclay new Greek leader? 

 Orban is clear that you would have to take your share of the national debt but sturgeon doesn't seem to be willing to commit to that.",1148258084227375104,🔥👨‍💻JamessReality💻🔥™,
80,Season ticket holder Sect 138,,"Glasgow, Scotland",,,bhoyforlfe,1527,1116,9847,Mon Jul 08 15:47:52 +0000 2019,Does anyone else think Nicola sturgeon The Sarwar fella GCC and Police Scotland. Are dingying replying to concerns over the OO hate parade. Also lack of coverage by MSM is strange. They normally love a good story.  Burying your head in the sand. Wont make it go away.,1148257398643220482,Robert Kennedy 1888,
81,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,BHCMax,JamessReality,38298,43123,154882,Mon Jul 08 15:43:10 +0000 2019,@BHCMax But it would have been an independent Scotland's and would it because doesn't Nicola Sturgeon want to hand it straight back to the EU.,1148256218118610944,🔥👨‍💻JamessReality💻🔥™,
83,"mature.,,apparently !! “dashing” seemingly, easy going would be hippie activist!!. Rebellious tendencies.. mixed with sarcastic slice 😎 tweets are not views...",,"Glasgow, Scotland",,CorbynistaEdith,HughDonaghy,570,413,8445,Mon Jul 08 15:41:25 +0000 2019,@CorbynistaEdith Nicola Sturgeon 👍🏼,1148255777154637825,hugh donaghy 🏴󠁧󠁢󠁳󠁣󠁴󠁿,
85,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,HairyAngus xerxes5th,JamessReality,38298,43123,154882,Mon Jul 08 15:37:39 +0000 2019,@HairyAngus @xerxes5th And as I have said I will support an independence referendum but as Nicola Sturgeon as said in the past of the Irish border because of the open border situation there needs to be a backstop same applies with England and Scotland..,1148254828071673857,🔥👨‍💻JamessReality💻🔥™,
86,"Rational, Indy, Republic, Social Justice, Eco-NOW, upcycle, Coorie/art,  wildland/life/camp, walk, cycle",,"""uk""",,CorbynistaEdith,SealeStu,46,68,1689,Mon Jul 08 15:33:05 +0000 2019,@CorbynistaEdith Nicola Sturgeon,1148253679469912069,Nic A Char,
88,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,CybernatStoker,JamessReality,38298,43123,154882,Mon Jul 08 15:31:53 +0000 2019,@CybernatStoker Coming from a Scottish nationalist at quotes The Independent. Or maybe if you look on YouTube you just find the video of sturgeon saying it herself,1148253377400311808,🔥👨‍💻JamessReality💻🔥™,
96,🕊 We set ourselves free And now we'll be forever wandering,,Glasgow,,,ropoem,1547,2211,101301,Mon Jul 08 15:12:10 +0000 2019,Tories are obsessed with the Scottish First Minister 😂 https://t.co/U2c1Kt5Opd,1148248416658558976,ropoem,https://t.co/U2c1Kt5Opd
99,"News from #Kurdistan, Europe & World in English. #Kurdish news search engine. For other languages see 
@rojname_com
@rojname_kurdi
@rojname_sorani
or #Rojname",,"Kurdistan, Europe",,,ROJNAME_english,642,5800,330475,Mon Jul 08 15:01:20 +0000 2019,"Brexit news: Former Scottish MEP delivers brutal blow to Sturgeon's independence plans | UK | News | https://t.co/XfAr0jCtJf [Express]
https://t.co/4lZVsX7olG",1148245687806697473,Rojname News English,https://t.co/XfAr0jCtJf https://t.co/4lZVsX7olG
100,"Communitarian collectivist / Morrissey enthusiast / ‘Humourless and... well, just boring' - as described by John Nicolson",,"Glasgow, Scotland",,,leiamurr,3796,3394,6815,Mon Jul 08 14:44:49 +0000 2019,There was a time when Nicola Sturgeon stated that “an attack on one minority community is an attack on us all.” The reticence to voice any concern over this is no longer particularly surprising - but it is still disappointing. https://t.co/2JGoLo43Ot,1148241532031590402,Leia Murray,https://t.co/2JGoLo43Ot
107,"“Qui espera allò que sembla impossible activa el procés que ho pot fer real.”

Heràclit d’Efes (550-480 a.C.)",,,,change_es,phoenix_1123,642,635,33240,Mon Jul 08 14:07:24 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - ¡Firma la petición! https://t.co/fb9uZFfjhm via @change_es",1148232118960631810,fènix 11-23,https://t.co/fb9uZFfjhm
109,"Truth & honesty transcend politics religion, morality & weakness. Musical British/ Irish/Jew. 
🇬🇧 🇮🇪 🇮🇱",,Land of Hope and Brexit,,,OrwellianZ,461,281,4301,Mon Jul 08 13:54:39 +0000 2019,"In the comments section on this video Scottish people seem to hate Nicola Sturgeon. I think that's the general feeling in Scotland.

https://t.co/C0NmOodzZK",1148228908808056832,Fender_2012,https://t.co/C0NmOodzZK
111,🏴󠁧󠁢󠁳󠁣󠁴󠁿 INDEPENDANT SCOTLAND 🏴󠁧󠁢󠁳󠁣󠁴󠁿,,One foot in the grave ,,BorisJohnson foreignoffice,bazhulk,257,35,3633,Mon Jul 08 13:54:17 +0000 2019,@BorisJohnson @foreignoffice 🏴󠁧󠁢󠁳󠁣󠁴󠁿 NICOLA STURGEON IS OUR DOROTHY 🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/lDsdQOlvA5,1148228816432709633,Jack Frost,
113,@blue_beyond_ Scotland Analyst | Namaste,,Scottish Highlands 📍,,,M44Tweet,631,4038,49630,Mon Jul 08 13:48:56 +0000 2019,Nicola Sturgeon https://t.co/zlsNQlvoda,1148227470014988288,MATT,https://t.co/zlsNQlvoda
115,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,nmckay958,JamessReality,38298,43123,154882,Mon Jul 08 13:45:47 +0000 2019,@nmckay958 Yes as I said I accepted in the ref too but due to Nicola sturgeon's demand to keep an open border there has to be a backstop,1148226677769723905,🔥👨‍💻JamessReality💻🔥™,
117,"Ex-psych nurse, computer technician, photographer: Photos at @clearwoodphoto  Married to @PlantTeaching #FBPE #FBSI #Scotref #SNP",,glasgow scotland,,singbeckwith NicolaSturgeon,tomclearwood,2842,1656,31555,Mon Jul 08 13:32:04 +0000 2019,@singbeckwith @NicolaSturgeon You don't have a clue. Ms Sturgeon is hugely popular in Scotland. Which is where it matters. https://t.co/8iQTJEAVkD,1148223225861722112,tom donald #FBSI,
118,"Music obsessed audiophile, architect, skier, cyclist, petrol-head and political geek, soar Alba. https://t.co/lc6sQPQ6zk",,Bonnie Scotland,,,goberre,304,74,2651,Mon Jul 08 13:30:38 +0000 2019,NICOLA Sturgeon’s plans for a Citizens’ Assembly on Scotland’s democratic future will come under the spotlight at an event organised by the Electoral Reform Society... https://t.co/HvmtLo3mfC,1148222865453404167,Gordon Darge,https://t.co/HvmtLo3mfC
127,"Brexiteer.
A sovereign nation with control of our laws,borders and money.
Patriotism isn't Racism
Common Market not United States of Europe.
Raiders fan forever",,"Longville in the Dale, England",,,AlanGeraldWard2,2297,1715,50160,Mon Jul 08 13:00:45 +0000 2019,https://t.co/x8pTGmdBY4,1148215343397167106,Hereward the Wake....aka..Little Englander..,https://t.co/x8pTGmdBY4
130,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,SbBarclay,JamessReality,38298,43123,154882,Mon Jul 08 12:38:21 +0000 2019,@SbBarclay Right let's try a simple question do you accept that Nicola Sturgeon seeks to be a member of the European Union which would surrender your Fisheries to the EU,1148209707515088897,🔥👨‍💻JamessReality💻🔥™,
131,Weary traveller. 🏴󠁧󠁢󠁳󠁣󠁴󠁿Independentista. Never blame this pensioner I voted YES Activated Sept 2014. Guitar collector. Wearer of arsehole detector trousers.,,"Aberdeenshire, Scotland",,Kirstene4Angus,almannysbunnet,851,1284,22424,Mon Jul 08 12:37:23 +0000 2019,"@Kirstene4Angus Theresa May came to Scotland and gave a barely disguised bitter farewell speech trying to deflect blame away from herself for the poor state of the Union. ""It's all Sturgeon's fault."" Nobody is buying it except for the dwindling band of Tory supporters in Scotland. https://t.co/JvCl5qahMn",1148209464899751937,Al Manny,
134,"Idun is a female painter & lecturer. Pre-selected: NEAC & ROI, Mall Galleries: 2016/17/18. Making new work in my studio. Contact: @WimbledonArt  ❤️ Work 4 sale",,"London, England",,,idunart,663,1400,17729,Mon Jul 08 12:30:36 +0000 2019,"interesting reading 
https://t.co/00VfmdMv0T",1148207755381084160,Idun Eustace StudioART_LONDON❤️,https://t.co/00VfmdMv0T
136,#teamruth is dead.,,Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿,,RuthDavidsonMSP MailOnline,indy_swim,233,194,3029,Mon Jul 08 12:00:53 +0000 2019,@RuthDavidsonMSP @MailOnline Nicola Sturgeon: https://t.co/V3hcFyZJsZ,1148200279910821888,[indy swim],
